mmsi,timestamp,lat,lon,sog,cog,vessel_name,vessel_type,source
503000001,2026-04-05 00:00:00+00:00,-10.58,142.12,11.0,88,Coral Trader,Cargo,sample_ais_events.csv
503000001,2026-04-05 00:20:00+00:00,-10.57,142.16,11.2,88,Coral Trader,Cargo,sample_ais_events.csv
503000001,2026-04-05 04:00:00+00:00,-10.55,142.2,10.8,88,Coral Trader,Cargo,sample_ais_events.csv
503000001,2026-04-05 04:10:00+00:00,-11.3,143.0,12.0,88,Coral Trader,Cargo,sample_ais_events.csv
503000002,2026-04-05 00:00:00+00:00,-10.62,142.23,1.1,15,Arafura Star,Fishing,sample_ais_events.csv
503000002,2026-04-05 01:10:00+00:00,-10.6193,142.23069999999998,1.1,15,Arafura Star,Fishing,sample_ais_events.csv
503000002,2026-04-05 02:30:00+00:00,-10.6185,142.23149999999998,1.1,15,Arafura Star,Fishing,sample_ais_events.csv
503000002,2026-04-05 03:50:00+00:00,-10.6177,142.23229999999998,1.1,15,Arafura Star,Fishing,sample_ais_events.csv
503000003,2026-04-05 03:42:00+00:00,-10.618,142.232,1.5,210,Unnamed,Fishing,sample_ais_events.csv
503000003,2026-04-05 03:55:00+00:00,-10.618,142.232,1.5,210,Unnamed,Fishing,sample_ais_events.csv
503000004,2026-04-05 00:00:00+00:00,-10.4,142.4,14.0,120,Thursday Ferry,Passenger,sample_ais_events.csv
503000004,2026-04-05 00:30:00+00:00,-10.38,142.43,14.0,120,Thursday Ferry,Passenger,sample_ais_events.csv
503000004,2026-04-05 01:00:00+00:00,-10.36,142.46,14.0,120,Thursday Ferry,Passenger,sample_ais_events.csv
503000004,2026-04-05 01:30:00+00:00,-10.34,142.49,14.0,120,Thursday Ferry,Passenger,sample_ais_events.csv
503000004,2026-04-05 02:00:00+00:00,-10.32,142.52,14.0,120,Thursday Ferry,Passenger,sample_ais_events.csv
