mmsi,vessel_name,vessel_type,positions,first_seen,last_seen,last_lat,last_lon,risk_score
51001002,IDN FISHER 02,Fishing,1663,2023-01-05T08:07:34.790248+00:00,2023-01-28T23:47:34.790248+00:00,-9.58933,144.23154,98
51001001,IDN FISHER 01,Fishing,777,2023-01-03T22:51:32.765378+00:00,2023-01-28T23:36:32.765378+00:00,-10.18213,141.23649,95
510099999,DARK VESSEL,Fishing,160,2023-01-03T13:53:59.927738+00:00,2023-01-28T22:53:59.927738+00:00,-10.89761,143.25997,95
51001004,IDN FISHER 04,Fishing,1238,2023-01-02T19:42:23.938225+00:00,2023-01-28T23:42:23.938225+00:00,-10.47623,141.94448,95
51001003,IDN FISHER 03,Fishing,846,2023-01-01T21:38:16.180805+00:00,2023-01-28T23:53:16.180805+00:00,-11.39914,141.35912,95
50300701,AUS LICENSED 01,Fishing,2329,2023-01-01T17:51:56.795716+00:00,2023-01-25T23:51:56.795716+00:00,-11.24611,141.20499,85
50300702,AUS LICENSED 02,Fishing,2318,2023-01-01T20:31:45.348613+00:00,2023-01-25T23:46:45.348613+00:00,-9.21663,142.15005,85
50300703,AUS LICENSED 03,Fishing,2144,2023-01-03T16:03:30.763635+00:00,2023-01-25T23:48:30.763635+00:00,-10.64679,143.58846,85
51001006,IDN FISHER 06,Fishing,1914,2023-01-02T10:12:36.213469+00:00,2023-01-28T23:52:36.213469+00:00,-10.4797,143.76959,85
51001005,IDN FISHER 05,Fishing,1164,2023-01-04T18:16:51.520686+00:00,2023-01-28T23:46:51.520686+00:00,-8.60213,142.4681,85
553000101,PNG VESSEL 01,Fishing,948,2023-01-01T06:18:37.493394+00:00,2023-01-20T23:48:37.493394+00:00,-9.2861,142.56657,85
553000102,PNG VESSEL 02,Fishing,849,2023-01-03T07:39:59.879589+00:00,2023-01-20T23:39:59.879589+00:00,-9.78548,141.10202,85
51001007,IDN FISHER 07,Fishing,1730,2023-01-04T23:27:57.853117+00:00,2023-01-28T23:47:57.853117+00:00,-10.27355,141.50687,85
51001008,IDN FISHER 08,Fishing,1264,2023-01-02T16:14:23.380778+00:00,2023-01-28T23:44:23.380778+00:00,-9.74848,142.49708,85
553000103,PNG VESSEL 03,Fishing,724,2023-01-05T22:07:31.275419+00:00,2023-01-20T23:37:31.275419+00:00,-10.60056,144.39773,85
553000104,PNG VESSEL 04,Fishing,724,2023-01-05T22:03:33.142741+00:00,2023-01-20T23:33:33.142741+00:00,-11.36526,141.77051,85
503700001,ABFV CAPE FOURCROY,Law_enforcement,4218,2023-01-01T17:04:18.822393+00:00,2023-01-30T23:54:18.822393+00:00,-9.20825,141.83558,0
503700002,ABFV CAPE YORK,Law_enforcement,3978,2023-01-03T09:03:55.537942+00:00,2023-01-30T23:53:55.537942+00:00,-10.53538,144.40008,0
