mmsi,timestamp,lat,lon,sog,cog,vessel_name,vessel_type,source
-1548819460,2022-12-29 15:49:46+00:00,-10.4062833333,141.141,10.3,108.0,,Cargo,AMSA_CTS_2022-12
-1548819460,2022-12-29 16:49:55+00:00,-10.45965,141.308483333,10.5,107.0,,Cargo,AMSA_CTS_2022-12
-1548819460,2022-12-29 17:49:56+00:00,-10.5103166667,141.481733333,10.8,104.0,,Cargo,AMSA_CTS_2022-12
-1548819460,2022-12-29 18:54:56+00:00,-10.5544666667,141.6409,8.4,105.0,,Cargo,AMSA_CTS_2022-12
-1548819460,2022-12-29 19:54:56+00:00,-10.5917,141.778366667,8.5,107.0,,Cargo,AMSA_CTS_2022-12
-1548819460,2022-12-29 20:59:55+00:00,-10.57635,141.899116667,12.6,83.0,,Cargo,AMSA_CTS_2022-12
-1548819460,2022-12-29 21:59:55+00:00,-10.5665333333,142.121183333,12.3,80.0,,Cargo,AMSA_CTS_2022-12
-1548819460,2022-12-29 22:59:56+00:00,-10.4941166667,142.308233333,12.2,84.0,,Cargo,AMSA_CTS_2022-12
-1548819460,2022-12-29 23:59:56+00:00,-10.5901166667,142.512683333,14.6,120.0,,Cargo,AMSA_CTS_2022-12
-1548819460,2022-12-30 01:04:56+00:00,-10.7694666667,142.718966667,15.1,114.0,,Cargo,AMSA_CTS_2022-12
-1548819460,2022-12-30 02:09:55+00:00,-10.9833,142.8374,14.4,166.0,,Cargo,AMSA_CTS_2022-12
-1548819460,2022-12-30 03:09:56+00:00,-11.2165833333,142.893933333,14.2,166.0,,Cargo,AMSA_CTS_2022-12
-1548819460,2022-12-30 04:09:57+00:00,-11.44965,142.917766667,13.9,164.0,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-06 20:29:43+00:00,-10.9664816667,141.127003333,12.8,77.3,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-06 21:29:52+00:00,-10.9176633333,141.338048333,12.7,77.6,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-06 22:29:52+00:00,-10.8693466667,141.54554,12.4,76.9,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-06 23:29:53+00:00,-10.751265,141.69868,8.9,42.9,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-07 00:29:53+00:00,-10.6585716667,141.792993333,9.6,44.6,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-07 01:29:53+00:00,-10.5362933333,141.872066667,10.6,69.3,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-07 02:34:53+00:00,-10.558585,142.057866667,10.4,99.8,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-07 03:34:53+00:00,-10.51356,142.202938333,8.5,68.4,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-07 04:34:53+00:00,-10.50398,142.367261667,11.0,124.3,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-07 05:34:53+00:00,-10.61652,142.546631667,13.2,122.6,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-07 06:34:57+00:00,-10.7686733333,142.72262,14.1,117.0,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-07 07:39:55+00:00,-10.9680966667,142.833056667,13.2,165.3,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-07 08:44:56+00:00,-11.1953866667,142.890816667,12.6,166.4,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-07 09:49:55+00:00,-11.4191883333,142.909025,12.1,165.4,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-17 09:50:37+00:00,-11.372318,143.000155,13.1,357.0,,Unknown,AMSA_CTS_2022-12
-1609823295,2022-12-17 10:51:36+00:00,-11.156653,142.93458,13.2,339.6,,Unknown,AMSA_CTS_2022-12
-1609823295,2022-12-17 11:54:49+00:00,-10.9375666667,142.856653333,13.2,341.1,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-17 12:54:58+00:00,-10.77328,142.737646667,12.9,294.4,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-17 13:54:58+00:00,-10.6365333333,142.585821667,12.4,319.8,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-17 14:59:49+00:00,-10.516595,142.394445,12.4,298.5,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-17 15:59:49+00:00,-10.5077283333,142.204196667,10.9,253.4,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-17 16:59:59+00:00,-10.5669266667,142.017155,13.0,267.4,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-17 18:04:59+00:00,-10.6297,141.831753333,11.8,233.2,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-17 19:04:59+00:00,-10.7736183333,141.670758333,12.9,225.2,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-17 20:09:50+00:00,-10.934875,141.505928333,12.5,225.5,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-17 21:11:09+00:00,-11.11139,141.42797,12.2,182.5,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-17 22:14:19+00:00,-11.3256583333,141.419383333,12.1,182.4,,Unknown,AMSA_CTS_2022-12
-1609823295,2022-12-19 20:34:41+00:00,-11.2780166667,141.521213333,13.2,5.2,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-19 21:34:42+00:00,-11.0572216667,141.530776667,13.2,3.6,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-19 22:34:51+00:00,-10.8604183333,141.58612,12.9,43.6,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-19 23:34:51+00:00,-10.73425,141.714675,9.7,45.3,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-20 00:34:52+00:00,-10.6413583333,141.810141667,10.0,30.6,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-20 01:39:51+00:00,-10.53174,141.896785,9.6,82.6,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-20 02:39:52+00:00,-10.5692783333,142.051756667,9.4,88.7,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-20 03:44:42+00:00,-10.5103166667,142.215873333,11.0,89.2,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-20 04:44:51+00:00,-10.5193216667,142.396053333,12.2,121.2,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-20 05:44:51+00:00,-10.633585,142.577555,12.7,139.9,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-20 06:44:52+00:00,-10.7770916667,142.734451667,12.2,113.0,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-20 07:49:52+00:00,-10.9489083333,142.82829,11.6,165.0,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-20 08:49:52+00:00,-11.13398,142.87504,11.1,166.4,,Cargo,AMSA_CTS_2022-12
-1609823295,2022-12-20 09:54:52+00:00,-11.332415,142.905726667,11.1,177.8,,Cargo,AMSA_CTS_2022-12
-1616579009,2022-12-05 18:04:56+00:00,-11.3666816667,142.996586667,11.9,8.7,,Cargo,AMSA_CTS_2022-12
-1616579009,2022-12-05 19:09:54+00:00,-11.157025,142.933606667,12.2,341.0,,Cargo,AMSA_CTS_2022-12
-1616579009,2022-12-05 20:09:55+00:00,-10.9601733333,142.865588333,12.5,340.4,,Cargo,AMSA_CTS_2022-12
-1616579009,2022-12-05 21:09:55+00:00,-10.7856783333,142.765005,12.9,292.3,,Cargo,AMSA_CTS_2022-12
-1616579009,2022-12-05 22:09:55+00:00,-10.6531,142.598456667,12.6,320.3,,Cargo,AMSA_CTS_2022-12
-1616579009,2022-12-05 23:09:55+00:00,-10.5317633333,142.432301667,12.0,304.8,,Cargo,AMSA_CTS_2022-12
-1616579009,2022-12-06 00:14:54+00:00,-10.5058833333,142.224846667,12.4,275.9,,Cargo,AMSA_CTS_2022-12
-1616579009,2022-12-06 01:14:55+00:00,-10.5544066667,142.05079,9.3,285.0,,Cargo,AMSA_CTS_2022-12
-1616579009,2022-12-06 02:14:56+00:00,-10.5304666667,141.892618333,9.3,260.5,,Cargo,AMSA_CTS_2022-12
-1616579009,2022-12-06 03:14:56+00:00,-10.6422666667,141.79985,11.2,220.7,,Cargo,AMSA_CTS_2022-12
-1616579009,2022-12-06 04:14:56+00:00,-10.7491666667,141.646098333,11.8,270.3,,Cargo,AMSA_CTS_2022-12
